bssid,ssid,type,lat,lon,last_seen,sqlite_filename
8E:53:E6:3F:F8:ED,,W,0,0,,backup-1762704831407.sqlite
8E:53:E6:5E:79:F4,,W,0,0,,backup-1762704831407.sqlite
8E:53:E6:65:4D:AE,,W,0,0,,backup-1762704831407.sqlite
8E:53:E6:6F:5E:92,,W,0,0,,backup-1762704831407.sqlite
8E:53:E6:75:1F:75,,W,0,0,,backup-1762704831407.sqlite
8E:5A:38:93:54:28,,W,0,0,,backup-1762704831407.sqlite
8E:6A:8D:4C:FF:82,,W,0,0,,backup-1762704831407.sqlite
8E:6A:8D:4C:FF:83,,W,0,0,,backup-1762704831407.sqlite
8E:6A:8D:4C:FF:84,,W,0,0,,backup-1762704831407.sqlite
8E:6A:8D:4C:FF:85,,W,0,0,,backup-1762704831407.sqlite
8E:6A:8D:4C:FF:87,,W,0,0,,backup-1762704831407.sqlite
8E:6A:8D:53:FF:80,,W,0,0,,backup-1762704831407.sqlite
8E:6A:8D:53:FF:83,,W,0,0,,backup-1762704831407.sqlite
8E:6A:8D:53:FF:85,,W,0,0,,backup-1762704831407.sqlite
8E:6A:8D:53:FF:86,,W,0,0,,backup-1762704831407.sqlite
8E:6A:8D:53:FF:87,,W,0,0,,backup-1762704831407.sqlite
8E:6A:8D:6C:57:2A,,W,0,0,,backup-1762704831407.sqlite
8E:6A:8D:6C:57:2E,,W,0,0,,backup-1762704831407.sqlite
8E:6F:75:39:4E:A3,,W,0,0,,backup-1762704831407.sqlite
8E:76:3F:25:3C:25,,W,0,0,,backup-1762704831407.sqlite
8E:76:3F:31:28:6E,,W,0,0,,backup-1762704831407.sqlite
8E:76:3F:32:9A:65,,W,0,0,,j24.sqlite
8E:76:3F:4F:2E:C4,,W,0,0,,backup-1762704831407.sqlite
8E:76:3F:51:86:24,,W,0,0,,backup-1762704831407.sqlite
8E:76:3F:A2:71:7D,,W,0,0,,j24.sqlite
8E:76:3F:AB:83:64,,W,0,0,,backup-1762704831407.sqlite
8E:76:3F:B9:2A:8B,,W,0,0,,j24.sqlite
8E:76:3F:CA:85:0A,,W,0,0,,backup-1762704831407.sqlite
8E:76:3F:CA:85:0B,,W,0,0,,backup-1762704831407.sqlite
8E:76:3F:F5:04:10,,W,0,0,,backup-1762704831407.sqlite
8E:7A:8A:09:E6:E2,,W,0,0,,backup-1762704831407.sqlite
8E:7A:8A:3A:C9:CE,,W,0,0,,backup-1762704831407.sqlite
8E:7A:8A:49:12:04,,W,0,0,,backup-1762704831407.sqlite
8E:7A:8A:68:0C:36,,W,0,0,,j24.sqlite
8E:83:C2:BD:A3:A6,,W,0,0,,backup-1762704831407.sqlite
8E:8F:E0:3B:85:25,,W,0,0,,backup-1762704831407.sqlite
8E:8F:E0:9F:9E:08,,W,0,0,,backup-1762704831407.sqlite
8E:8F:E0:A1:41:CC,,W,0,0,,backup-1762704831407.sqlite
8E:8F:E0:C9:F7:AB,,W,0,0,,backup-1762704831407.sqlite
8E:8F:E0:CF:5A:ED,,W,0,0,,backup-1762704831407.sqlite
8E:AB:8A:92:FB:91,,W,0,0,,backup-1762704831407.sqlite
8E:AD:43:25:BD:A0,,W,0,0,,backup-1762704831407.sqlite
8E:AD:43:5C:09:10,,W,0,0,,backup-1762704831407.sqlite
8E:AD:43:5E:8D:D0,,W,0,0,,j24.sqlite
8E:AD:43:93:F8:78,,W,0,0,,backup-1762704831407.sqlite
8E:B0:66:0B:05:34,,W,0,0,,backup-1762704831407.sqlite
8E:B0:66:16:B2:21,,W,0,0,,backup-1762704831407.sqlite
8E:B0:66:1C:10:EA,,W,0,0,,backup-1762704831407.sqlite
8E:B0:66:E5:16:D9,,W,0,0,,backup-1762704831407.sqlite
8E:B3:4A:11:3E:7E,,W,0,0,,backup-1762704831407.sqlite
8E:C8:A0:77:37:75,,W,0,0,,backup-1762704831407.sqlite
8E:DA:19:55:9E:DE,,W,0,0,,backup-1762704831407.sqlite
8E:E9:BA:E6:60:52,,W,0,0,,backup-1762704831407.sqlite
8E:F2:9E:1B:03:40,,W,0,0,,j24.sqlite
8E:F2:9E:78:0A:70,,W,0,0,,backup-1762704831407.sqlite
8E:F2:9E:B0:4A:48,,W,0,0,,backup-1762704831407.sqlite
90:58:51:24:E0:AC,,W,0,0,,backup-1762704831407.sqlite
90:58:51:24:E0:AE,,W,0,0,,backup-1762704831407.sqlite
90:58:51:24:E0:B2,,W,0,0,,backup-1762704831407.sqlite
90:58:51:D3:A5:60,,W,0,0,,backup-1762704831407.sqlite
90:9D:7D:76:A3:97,,W,0,0,,backup-1762704831407.sqlite
90:9D:7D:76:A3:98,,W,0,0,,backup-1762704831407.sqlite
90:9D:7D:78:30:AA,,W,0,0,,backup-1762704831407.sqlite
90:9D:7D:B1:A7:A9,,W,0,0,,backup-1762704831407.sqlite
90:9D:7D:B1:A7:AA,,W,0,0,,backup-1762704831407.sqlite
90:9D:7D:B5:5F:C5,,W,0,0,,backup-1762704831407.sqlite
90:9D:7D:EB:7D:F7,,W,0,0,,backup-1762704831407.sqlite
90:CA:FA:68:3A:47,,W,0,0,,backup-1762704831407.sqlite
90:D0:92:40:C1:C8,,W,0,0,,backup-1762704831407.sqlite
90:D0:92:40:C1:CC,,W,0,0,,j24.sqlite
90:D0:92:40:C1:CF,,W,0,0,,backup-1762704831407.sqlite
90:D0:92:A8:A6:09,,W,0,0,,backup-1762704831407.sqlite
90:F4:C1:1D:78:E4,,W,0,0,,backup-1762704831407.sqlite
92:0F:6F:0A:40:08,,W,0,0,,backup-1762704831407.sqlite
92:0F:6F:2F:8D:C8,,W,0,0,,backup-1762704831407.sqlite
92:10:AD:5B:1D:87,,W,0,0,,backup-1762704831407.sqlite
92:16:F0:6E:9E:EE,,W,0,0,,backup-1762704831407.sqlite
92:18:E7:CB:D9:E2,,W,0,0,,backup-1762704831407.sqlite
92:37:4C:C1:72:C3,,W,0,0,,backup-1762704831407.sqlite
92:4F:B8:66:C3:BA,,W,0,0,,backup-1762704831407.sqlite
92:4F:B8:6F:93:9A,,W,0,0,,backup-1762704831407.sqlite
92:4F:B8:71:B7:C2,,W,0,0,,backup-1762704831407.sqlite
92:4F:B8:7C:02:F9,,W,0,0,,backup-1762704831407.sqlite
92:4F:B8:8C:82:05,,W,0,0,,backup-1762704831407.sqlite
92:4F:B8:8C:82:06,,W,0,0,,backup-1762704831407.sqlite
92:4F:B8:94:CC:4E,,W,0,0,,backup-1762704831407.sqlite
92:76:3F:22:C7:42,,W,0,0,,backup-1762704831407.sqlite
92:76:3F:29:87:5F,,W,0,0,,j24.sqlite
92:76:3F:32:9A:65,,W,0,0,,backup-1762704831407.sqlite
92:76:3F:4F:E1:90,,W,0,0,,backup-1762704831407.sqlite
92:76:3F:51:86:24,,W,0,0,,backup-1762704831407.sqlite
92:76:3F:56:D4:D3,,W,0,0,,backup-1762704831407.sqlite
92:76:3F:A2:71:7D,,W,0,0,,backup-1762704831407.sqlite
92:76:3F:AB:50:DC,,W,0,0,,backup-1762704831407.sqlite
92:76:3F:AB:83:64,,W,0,0,,backup-1762704831407.sqlite
92:76:3F:B9:2A:8B,,W,0,0,,backup-1762704831407.sqlite
92:76:3F:CA:85:0B,,W,0,0,,backup-1762704831407.sqlite
92:95:51:B2:6C:2E,,W,0,0,,j24.sqlite
