_id,run_id,wifi_visible,cell_visible,bt_visible,lat,lon,altitude,accuracy,time
1,0,13,4,4,43.0234246217556,-83.6968597841442,195.032958984375,3.79009246826172,1748380894000
2,1,9,4,2,43.0234234297426,-83.6968129192657,197.341064453125,3.79009246826172,1748381112000
3,2,0,0,0,43.02343036,-83.69682503,205.516052246094,7.7837381362915,1748422942000
4,2,0,0,0,43.02343036,-83.69682503,205.516052246094,7.7837381362915,1748422942000
5,3,0,0,0,43.02348699,-83.69678809,183.505615234375,11.0378818511963,1748456459000
6,3,7,4,0,43.0234971871762,-83.6967081545592,185.254577636719,4.59218406677246,1748456463000
7,4,19,1,1,43.0239527700914,-83.692370181664,199.840881347656,17.0281162261963,1748459114000
8,4,21,1,1,43.0239764287787,-83.6922381605649,194.801391601562,11.1676368713379,1748459118000
9,4,18,1,4,43.0239954616635,-83.6921789022031,193.300598144531,12.7621383666992,1748459122000
10,4,16,1,2,43.0240105586355,-83.6921352740168,192.4130859375,12.1168165206909,1748459126000
11,4,19,1,4,43.0240287425094,-83.6920623520371,190.430908203125,12.1965322494507,1748459182000
12,4,16,1,3,43.0240472889361,-83.6919789515274,191.747375488281,13.0258941650391,1748459186000
13,4,19,1,4,43.0240635292541,-83.6919086523444,191.111389160156,14.0704107284546,1748459190000
14,4,16,1,6,43.0240783042531,-83.6918374921203,190.121826171875,17.3745288848877,1748459194000
15,4,19,1,6,43.0240904167811,-83.6917838224686,189.249267578125,18.9051284790039,1748459198000
16,4,20,1,8,43.0241095302037,-83.6917388394888,188.864929199219,24.2517490386963,1748459204000
17,4,20,1,4,43.0240752513022,-83.6917328875027,188.059692382812,13.5949201583862,1748459218000
18,4,21,1,5,43.024051453439,-83.6916979131383,187.714111328125,20.9708862304687,1748459232000
19,4,20,1,5,43.0240481622469,-83.6916272028859,185.503662109375,20.430004119873,1748459238000
20,4,21,1,6,43.0240386854696,-83.6915722161531,186.091552734375,16.2166900634766,1748459242000
21,4,24,1,3,43.0240449839137,-83.6915102997262,185.640197753906,14.9009943008423,1748459248000
22,4,14,1,6,43.0243024193271,-83.6919284369266,189.719360351562,22.1781749725342,1748459336000
23,4,23,1,5,43.0242185824488,-83.6919346775215,190.006469726563,21.097074508667,1748459340000
24,4,19,1,11,43.024157937034,-83.6919339287154,189.275939941406,21.7463245391846,1748459344000
25,4,16,1,5,43.024137435363,-83.6918871144455,182.885314941406,13.0154867172241,1748459504000
26,4,22,1,7,43.0241170198713,-83.6919248013691,183.671630859375,11.5785226821899,1748459574000
27,4,23,1,9,43.024084168891,-83.6919451669699,187.537231445312,12.996319770813,1748459646000
28,4,17,1,6,43.0240576405746,-83.691975074047,187.959533691406,10.8978958129883,1748459744000
29,4,26,1,4,43.0240281857679,-83.691886891701,184.066223144531,10.202262878418,1748459818000
30,4,27,1,4,43.0239780147356,-83.691864926768,184.614379882813,9.93504619598389,1748459822000
31,4,20,1,5,43.0239269319137,-83.6918838156737,185.219787597656,3.79009246826172,1748459826000
32,4,21,2,5,43.0239121866751,-83.6919412093008,184.126159667969,3.79009246826172,1748459832000
33,4,29,2,4,43.0239131320199,-83.691988366775,186.379211425781,3.79009246826172,1748459836000
34,4,18,1,2,43.0238960755619,-83.6920540695272,188.793579101563,3.79009246826172,1748459842000
35,4,27,1,3,43.0238923207388,-83.6921026326834,189.479431152344,3.79009246826172,1748459846000
36,4,19,1,3,43.0238910888153,-83.6921581998873,189.554260253906,3.79009246826172,1748459850000
37,4,35,1,3,43.0238910348299,-83.6922159342549,189.253173828125,3.79009246826172,1748459854000
38,4,38,1,3,43.0238939155436,-83.6922703004108,188.953369140625,3.79009246826172,1748459858000
39,4,28,1,3,43.0238975002635,-83.692318042013,189.499938964844,3.79009246826172,1748459862000
40,4,21,1,8,43.0238996731274,-83.6923674669568,189.7236328125,3.79009246826172,1748459866000
41,4,21,2,6,43.0238979858087,-83.6924184825684,190.245849609375,3.79009246826172,1748459870000
42,4,21,2,4,43.0239029264233,-83.6924721809131,190.456848144531,3.79009246826172,1748459874000
43,4,17,2,7,43.0239059267406,-83.6925246034182,190.775634765625,3.79009246826172,1748459878000
44,4,18,2,9,43.0239071478503,-83.6925776602851,191.042846679688,3.79009246826172,1748459882000
45,4,29,2,4,43.0239112762033,-83.6926327491254,191.485107421875,3.79009246826172,1748459886000
46,4,27,2,4,43.0239181263882,-83.6926875961406,191.701599121094,3.79009246826172,1748459890000
47,4,26,2,3,43.0239257110535,-83.6927359316959,191.36669921875,3.79009246826172,1748459894000
48,4,10,2,3,43.0239342809512,-83.6927831551712,191.762573242188,3.79009246826172,1748459898000
49,4,23,2,3,43.0239464159419,-83.692830046239,192.850463867187,3.79009246826172,1748459902000
50,4,16,2,1,43.0239640486017,-83.6928720211713,191.499328613281,3.79009246826172,1748459906000
51,4,11,2,1,43.0239769568911,-83.6929152744188,191.726623535156,3.79009246826172,1748459910000
52,4,12,2,1,43.023993408041,-83.6929794763822,191.279296875,3.79009246826172,1748459916000
53,4,19,2,3,43.0240037775948,-83.6930488607463,192.907775878906,3.79009246826172,1748459922000
54,4,27,2,1,43.0240164068825,-83.6931035877013,193.210876464844,3.79009246826172,1748459926000
55,4,18,3,1,43.0240286149222,-83.6931504563058,193.244140625,3.79009246826172,1748459930000
56,4,21,3,3,43.0240327659752,-83.6931997402775,192.719055175781,3.79009246826172,1748459934000
57,4,20,2,2,43.0240345092797,-83.6932487884453,193.626098632812,3.79009246826172,1748459938000
58,4,28,2,9,43.0240321135983,-83.6932961981581,192.634643554687,3.79009246826172,1748459942000
59,4,40,2,8,43.0240291553027,-83.6933459978105,192.027221679688,3.79009246826172,1748459946000
60,4,20,2,8,43.0240378765661,-83.6933930400279,191.440490722656,3.79009246826172,1748459950000
61,4,24,2,5,43.0240501819539,-83.6934378256636,191.465026855469,3.79009246826172,1748459980000
62,4,23,2,3,43.0240502430669,-83.6934980788833,191.218872070313,3.79009246826172,1748459984000
63,4,20,2,8,43.0240443105387,-83.6935533463209,190.862060546875,3.79009246826172,1748459988000
64,4,29,2,5,43.0240430343113,-83.693606041664,191.530883789063,3.79009246826172,1748459992000
65,4,21,2,5,43.0240413196601,-83.6936583560742,191.083374023437,3.79009246826172,1748459996000
66,4,16,2,5,43.0240389558788,-83.6937071948387,191.059509277344,3.79009246826172,1748460000000
67,4,38,2,3,43.0240408004824,-83.6937542520225,191.5009765625,3.79009246826172,1748460004000
